year,materia,media_aptos,n_aptos,flag
2018,Llatí,6.42,,
2018,Llengua castellana i literatura,6.33,,
2018,Llengua catalana i literatura,6.51,,
2018,Mat. aplicades CCSS,6.65,,
2018,Matemàtiques,6.23,,
2018,Química,6.39,,
2018,Tecnologia,5.33,,
2019,Anglès,6.43,27738,
2019,Biologia,6.69,8221,
2019,Dibuix tècnic,6.23,1557,
2019,Electrotècnia,4.85,627,
2019,Empresa,7.05,6876,
2019,Física,6.41,6274,
2019,Geografia,6.3,4220,
2019,Geologia/CTMA,5.99,1231,
2019,Grec,7.3,575,
2019,Història,6.59,28211,
2019,Història de l'art,6.33,1771,
2019,Història de la filosofia,6.55,1570,
2019,Llatí,6.01,3500,
2019,Llengua castellana i literatura,6.89,28213,
2019,Llengua catalana i literatura,6.85,28039,
2019,Mat. aplicades CCSS,6.5,13455,
2019,Matemàtiques,6.0,13480,
2019,Química,5.97,6973,
2019,Tecnologia,5.95,1457,
2020,Anglès,6.49,,*
2020,Biologia,6.61,9212,
2020,Dibuix tècnic,6.4,1844,
2020,Electrotècnia,5.1,448,
2020,Empresa,7.09,7103,
2020,Física,6.96,6553,
2020,Geografia,6.03,6181,
2020,Geologia/CTMA,6.6,771,
2020,Grec,7.13,773,
2020,Història,6.71,,*
2020,Història de l'art,6.59,2206,
2020,Història de la filosofia,6.55,5229,
2020,Llatí,6.16,4156,
2020,Llengua castellana i literatura,6.65,,*
2020,Llengua catalana i literatura,6.8,,*
2020,Mat. aplicades CCSS,6.19,16270,
2020,Matemàtiques,6.25,14308,
2020,Química,6.53,7530,
2020,Tecnologia,6.72,2420,
2021,Anglès,7.31,31070,
2021,Biologia,6.59,9451,
2021,Dibuix tècnic,6.19,1973,
2021,Electrotècnia,6.16,342,
2021,Empresa,7.79,7832,
2021,Física,6.99,7522,
2021,Geografia,6.25,6309,
2021,Geologia/CTMA,6.27,614,
2021,Grec,6.74,749,
2021,Història,7.07,31541,
2021,Història de l'art,6.54,1992,
2021,Història de la filosofia,6.86,6160,
2021,Llatí,6.12,4177,
2021,Llengua castellana i literatura,6.6,31555,
2021,Llengua catalana i literatura,6.93,31392,
2021,Mat. aplicades CCSS,6.87,16008,
2021,Matemàtiques,5.56,15031,
2021,Química,6.27,7729,
2021,Tecnologia,6.4,2836,
2022,Anglès,7.49,31562,
2022,Biologia,6.81,9579,
2022,Dibuix tècnic,6.43,2095,
2022,Electrotècnia,5.11,337,
2022,Empresa,6.62,8249,
2022,Física,5.85,7813,
2022,Geografia,6.49,6200,
2022,Geologia/CTMA,6.64,622,
2022,Grec,7.6,800,
2022,Història,6.82,32001,
2022,Història de l'art,6.27,1909,
2022,Història de la filosofia,6.13,5891,
2022,Llatí,6.76,4100,
2022,Llengua castellana i literatura,6.54,32010,
2022,Llengua catalana i literatura,7.08,31840,
2022,Mat. aplicades CCSS,6.32,17743,
2022,Matemàtiques,6.12,14559,
2022,Química,6.98,8075,
2022,Tecnologia,6.58,3215,
2023,Anglès,7.03,32144,
2023,Biologia,6.34,9762,
2023,Dibuix tècnic,6.56,2118,
2023,Electrotècnia,5.16,305,
2023,Empresa,6.49,8488,
2023,Física,5.75,7603,
2023,Geografia,6.05,6495,
2023,Geologia/CTMA,6.81,691,
2023,Grec,6.08,701,
2023,Història,7.11,32552,
2023,Història de l'art,6.56,1927,
2023,Història de la filosofia,6.58,6196,
2023,Llatí,6.35,3891,
2023,Llengua castellana i literatura,7.39,32557,
2023,Llengua catalana i literatura,6.7,32373,
2023,Mat. aplicades CCSS,5.5,18134,
2023,Matemàtiques,5.49,15415,
2023,Química,6.5,8408,
2023,Tecnologia,5.42,3655,
2024,Anglès,7.07,32545,
2024,Biologia,6.31,10661,
2024,Dibuix tècnic,5.09,2771,
2024,Empresa,6.82,9210,
2024,Física,5.97,7577,
2024,Geografia,6.29,7900,
2024,Geologia/CTMA,5.68,589,
2024,Grec,7.37,780,
2024,Història,7.23,22790,
2024,Història de l'art,6.83,2210,
2024,Història de la filosofia,6.97,10184,
2024,Llatí,6.71,3900,
2024,Llengua castellana i literatura,6.94,32980,
2024,Llengua catalana i literatura,6.62,32775,
2024,Mat. aplicades CCSS,6.51,16709,
2024,Matemàtiques,4.87,16807,
2024,Química,6.85,9599,
2024,Tecnologia,5.73,3730,
2025,Anglès,6.82,32430,
2025,Biologia,6.23,11556,
2025,Dibuix tècnic,6.57,2875,
2025,Empresa,6.88,9698,
2025,Física,6.04,7887,
2025,Geografia,6.0,8070,
2025,Geologia/CTMA,5.87,510,
2025,Grec,6.58,741,
2025,Història,6.95,16113,
2025,Història de l'art,6.84,2072,
2025,Història de la filosofia,6.89,16756,
2025,Llatí,5.68,3871,
2025,Llengua castellana i literatura,6.4,32803,
2025,Llengua catalana i literatura,6.3,32619,
2025,Mat. aplicades CCSS,5.06,18540,
2025,Matemàtiques,6.12,16025,
2025,Química,6.38,9947,
2025,Tecnologia,6.82,4105,
2026,Anglès,6.71,32870,
2026,Biologia,6.02,12526,
2026,Dibuix tècnic,6.65,3158,
2026,Empresa,6.8,10114,
2026,Física,6.84,8021,
2026,Geografia,6.18,8530,
2026,Geologia/CTMA,5.42,467,
2026,Grec,6.99,748,
2026,Història,6.47,15053,
2026,Història de l'art,6.47,2129,
2026,Història de la filosofia,6.77,18160,
2026,Llatí,5.68,3871,
2026,Llengua castellana i literatura,6.96,33181,
2026,Llengua catalana i literatura,6.46,33046,
2026,Mat. aplicades CCSS,5.64,17738,
2026,Matemàtiques,4.18,17025,
2026,Química,6.04,10736,
2026,Tecnologia,5.45,4410,
