region,university,year,sitting,enrolled,presented,passed,pass_pct,mean,sd,denominator,source_type,source,url
Asturias,Universidad de Oviedo,2026,ordinary,,,,76.87,6.62,,presented (admission-phase subject); N not published,official press release,Uniovi news 12 Jun 2026,https://www.uniovi.es/actualidad/noticias/-/asset_publisher/Ru0cAJNPrm1m/content/el-95-12-del-estudiantado-aprueba-la-pau-en-asturias-en-la-convocatoria-de-junio
Comunidad de Madrid,6 public universities,2026,ordinary,,,,,6.7,,chart label (1 decimal); admission-phase means over exams presented,official presentation (chart),Comunidad de Madrid 'Presentación resultados PAU 2026' p.14,https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf
Comunidad de Madrid,6 public universities,2025,ordinary,,,,,5.6,,chart label (1 decimal); ministry 2025 = 5.65,official presentation (chart),same p.14,https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf
Comunitat Valenciana,SUV (5 universities),2026,ordinary,5615,5259,4015,76.35,6.396,2.380,presented; SD published,official statistics PDF,Estadísticas PAU JUNIO 2026 p.43 (re-extracted 18 Sep 2026),https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,SUV (5 universities),2026,extraordinary,915,777,308,39.64,4.162,2.375,presented,official statistics PDF,Estadísticas PAU JULIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JULIO+2026.pdf/9184b01a-513e-4397-3b65-b4d3ae8a8503
Comunitat Valenciana,SUV (5 universities),2025,ordinary,5372,5082,3538,69.62,5.889,2.275,presented,official statistics PDF,Estadísticas PAU JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Comunitat Valenciana,UA,2026,ordinary,962,925,682,73.73,6.273,2.343,presented,official statistics PDF,JUNIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,UJI,2026,ordinary,559,521,422,81.00,6.754,2.387,presented,official statistics PDF,JUNIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,UMH,2026,ordinary,951,884,682,77.15,6.413,2.303,presented,official statistics PDF,JUNIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,UPV,2026,ordinary,1384,1293,1001,77.42,6.502,2.466,presented,official statistics PDF,JUNIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,UV,2026,ordinary,1759,1636,1228,75.06,6.260,2.353,presented,official statistics PDF,JUNIO 2026 p.43,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c
Comunitat Valenciana,UA,2025,ordinary,950,904,589,65.15,5.685,2.225,presented,official statistics PDF,JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Comunitat Valenciana,UJI,2025,ordinary,616,588,384,65.31,5.742,2.355,presented,official statistics PDF,JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Comunitat Valenciana,UMH,2025,ordinary,823,770,548,71.17,6.017,2.271,presented,official statistics PDF,JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Comunitat Valenciana,UPV,2025,ordinary,1329,1247,906,72.65,5.987,2.266,presented,official statistics PDF,JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Comunitat Valenciana,UV,2025,ordinary,1654,1573,1111,70.63,5.921,2.270,presented,official statistics PDF,JUNIO 2025 p.43,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b
Castilla-La Mancha,UCLM,2026,ordinary,1913,1781,1426,80.07,6.80,,presented (aptos+no aptos); 132 no presentados,official Power BI dashboard,UCLM 'Estadística de Aprobados y Nota Media por Materia' (2025-26 Ordinaria),https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2026,extraordinary,165,142,58,40.85,3.97,,presented,official Power BI dashboard,same (2025-26 Extraordinaria),https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2025,ordinary,1959,1784,1170,65.58,5.86,,presented,official Power BI dashboard,same (2024-25 Ordinaria),https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2025,extraordinary,186,161,81,50.31,4.62,,presented,official Power BI dashboard,same (2024-25 Extraordinaria),https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2024,ordinary,1998,1795,1374,76.55,6.57,,presented,official Power BI dashboard,same (2023-24 Ordinaria),https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2024,extraordinary,199,155,73,47.10,4.48,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2023,ordinary,1955,1751,1247,71.22,5.97,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2023,extraordinary,228,183,73,39.89,4.00,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2022,ordinary,1940,1708,1283,75.12,6.48,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2022,extraordinary,248,195,70,35.90,3.98,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2021,ordinary,1783,1589,1139,71.68,6.08,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Castilla-La Mancha,UCLM,2021,extraordinary,194,152,80,52.63,4.72,,presented,official Power BI dashboard,same,https://www.uclm.es/perfiles/preuniversitario/orientadores/estadisticaspruebasacceso
Canarias,ULL (Tenerife),2026,ordinary,,683,263,38.51,4.08,,exams sat; 30 zeros; 2 tens; women 4.09 / men 4.07,official Power BI dashboard,ULL 'Calificaciones en la PAU por asignatura' (2025-26 JUN),https://www.ull.es/estadisticas/pau/
Canarias,ULL (Tenerife),2026,extraordinary,,97,30,30.93,3.27,,exams sat; 4 zeros,official Power BI dashboard,same (2025-26 JUL),https://www.ull.es/estadisticas/pau/
Canarias,ULL (Tenerife),2025,ordinary,,796,425,53.39,4.92,,exams sat; 18 zeros; 9 tens,official Power BI dashboard,same (2024-25 JUN),https://www.ull.es/estadisticas/pau/
Canarias,ULL (Tenerife),2024,ordinary,,731,462,63.20,5.60,,exams sat; 5 zeros; 8 tens,official Power BI dashboard,same (2023-24 JUN),https://www.ull.es/estadisticas/pau/
Canarias,ULPGC (Las Palmas),2026,ordinary,861,712,305,42.84,4.41,,presented = aptos+no aptos; women 4.50 / men 4.38,official Power BI dashboard,ULPGC Informe 2 (2026 JUNIO),https://www.ulpgc.es/direccion-acceso/informes-ebau-powerbi-2021
Canarias,ULPGC (Las Palmas),2025,ordinary,918,758,414,54.62,5.25,,presented,official Power BI dashboard,ULPGC Informe 2 (2025 JUNIO),https://www.ulpgc.es/direccion-acceso/informes-ebau-powerbi-2021
Canarias,ULPGC (Las Palmas),2024,ordinary,958,796,541,67.96,6.15,,presented,official Power BI dashboard,ULPGC Informe 2 (2024 JUNIO),https://www.ulpgc.es/direccion-acceso/informes-ebau-powerbi-2021
Aragón,Universidad de Zaragoza,2025,ordinary,1539,1430,,79.37,6.469,,presented; 'DESV' 1.953 is mean absolute deviation; grade bands 131/164/465/470/200,official XLSX,pauresulasig2025.xlsx sheet 'resultados 2025 desglosado',https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2025,extraordinary,193,160,,45.63,4.622,,presented; grade bands 48/39/37/27/9,official XLSX,same,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2024,ordinary,1615,,,,7.778,,source marks 2024/2025 with [*] methodology change,official XLSX,sheet 'PAU asig 2025',https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2023,ordinary,1594,,,,7.798,,,official XLSX,same,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2022,ordinary,1508,,,,7.531,,,official XLSX,same,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2021,ordinary,1380,,,,7.377,,,official XLSX,same,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Aragón,Universidad de Zaragoza,2020,ordinary,1515,,,,6.606,,,official XLSX,same,https://academico.unizar.es/sites/academico/files/archivos/acceso/estad/pauresulasig2025.xlsx
Navarra,UPNA,2025,ordinary,921,773,471,60.93,5.36,,presented (inferred); bands <3 21.1 % / [3-4) 10.1 / [4-5) 7.9 / [5-6) 15.1 / [6-7) 13.2 / [7-8) 12.4 / [8-9) 12.7 / ≥9 7.5,official annual report,UPNA Informe PAU 2024-25 Tablas 10-16,https://www2.unavarra.es/gesadj/Estudios/acceso_matricula/PAU/Informe_PAU_2024-25.pdf
Navarra,UPNA,2025,extraordinary,74,67,24,35.82,3.71,,presented,official annual report,same,https://www2.unavarra.es/gesadj/Estudios/acceso_matricula/PAU/Informe_PAU_2024-25.pdf
Región de Murcia,UMU/UPCT (COPAU),2025,ordinary,,1403,854,61,5.33,,presented; final post-claims,official annual report,Informe General PAU2025 p.32,https://www.um.es/documents/d/estudios/co-pau2026-1-doc-3-informe-general-pau2025
Región de Murcia,UMU/UPCT (COPAU),2025,extraordinary,,201,88,44,4.37,,presented,official annual report,same,https://www.um.es/documents/d/estudios/co-pau2026-1-doc-3-informe-general-pau2025
Cantabria,Universidad de Cantabria,2025,ordinary,764,729,461,63.24,5.44,,presented; 22 marks >9,official PDF,Resultados por Materia PAU Ordinaria 2025,https://web.unican.es/admision/Documents/Acceso/Resultados%20por%20Materia%20PAU%20Ordinaria%202025_Web.pdf
Cantabria,Universidad de Cantabria,2025,extraordinary,73,65,29,44.62,4.94,,presented,official PDF,Resultados por Materia PAU Extraordinaria 2025,https://web.unican.es/admision/Documents/Acceso/Resultados%20por%20Materia%20PAU%20Extraordinaria%202025_Web.pdf
Galicia,CiUG (3 universities),2023,ordinary,,1762,872,49.5,4.68,,exams sat; per-commission spread ±0.52 (mean) and ±8.0 pp (pass),working-group report,CiUG Grupo de Traballo de Física 'Estatísticas e valoracións' 2023,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2022,ordinary,,1856,1207,65.0,5.97,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2021,ordinary,,2010,1226,61.0,5.34,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2020,ordinary,,1979,1060,53.6,4.90,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2023,extraordinary,,227,93,41.0,3.99,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2022,extraordinary,,213,38,17.8,2.65,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
Galicia,CiUG (3 universities),2021,extraordinary,,238,73,30.7,3.46,,exams sat,working-group report,same,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf
La Rioja,Universidad de La Rioja,2022,ordinary,435,413,,85.71,7.430,,presented (matriculados − 22 NP); chart labels,official PDF (chart),UR 'Estudio sobre la evolución de los resultados EBAU/PAU junio' p.18 (2022 edition),https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2021,ordinary,380,360,,94.44,8.309,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2020,ordinary,351,324,,79.94,6.971,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2019,ordinary,304,270,,74.81,6.151,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2018,ordinary,315,281,,79.36,6.609,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2017,ordinary,256,249,,75.50,6.331,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2016,ordinary,220,214,,74.30,6.100,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2015,ordinary,195,192,,67.19,5.784,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2014,ordinary,207,204,,72.55,6.167,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2013,ordinary,180,178,,66.29,5.629,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2012,ordinary,209,203,,82.27,6.726,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2011,ordinary,213,206,,63.59,5.491,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
La Rioja,Universidad de La Rioja,2010,ordinary,211,196,,41.84,4.489,,presented,official PDF (chart),same,https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf
