file,bytes,sha256,description,url,retrieval
raw/cnt_Resultados_por_Materia_PAU_Ordinaria_2025_Web.pdf,94509,78e1b25d0e49548c0c43c2a4ef07d81026bf1ca5fafa08888eff02ce28efb64e,"UC results by subject, ordinary 2025",https://web.unican.es/admision/Documents/Acceso/Resultados%20por%20Materia%20PAU%20Ordinaria%202025_Web.pdf,curl (search agent)
raw/cyl_uva_resultados-acceso-2025.pdf,62806,e5bd7b0c96042833bada89ec8d2893b4375c821f69bd2a437db6238f28d8c561,UVa results 2025 (no subject table),https://pruebasdeacceso.uva.es/9.resultadosestadisticos/,curl (search agent)
raw/ehu_20260706_notak_po.pdf,122798,9957c60b30364cc323c3b1f1d3e2bf777e9f8bd0cdee2c9100251580a6bbb615,EHU presentation 6 Jul 2026,https://www.ehu.eus/documents/d/campusa/20260706-notak-po,curl (search agent)
raw/ehu_fisica_examen_ord_2026.pdf,825973,a09a904b2a17653b743e8b2d78d95ba2e4524e02b6f0ff77d73751afda6f9b5f,EHU Física ordinary paper 2026,https://www.ehu.eus/documents/d/unibertsitaterako-sarbidea/fisica-examen-ord-2026,curl (search agent)
raw/ehu_fisica_solucionario_ord_2026.pdf,962346,dea0bc7e559086d240038e954aa44c55e5410dd1e2df39cb774c9eb0afa73cbf,EHU Física ordinary marking scheme 2026,https://www.ehu.eus/documents/d/unibertsitaterako-sarbidea/fisica-solucionario-ord-2026,curl (search agent)
raw/ehu_guia_acceso_26_27_cast.pdf,1764864,4c0011fc516ede18bed88099b7419afbda9b48a0d506fc565360398900890ad9,EHU access guide 2026-27,https://www.ehu.eus/documents/d/unibertsitaterako-sarbidea/guia-acceso-upv-ehu-26-27-cast-pr3-dig,curl (search agent)
raw/ehu_gv_resultados_escolares_2024_2025.pdf,9273470,d352198165e66530e3b13c318c55f04e2f701d9c05ae96474351dc02a01570cc,"Gobierno Vasco, Resultados escolares 2024-25",https://www.euskadi.eus/contenidos/informacion/eskola_emaitzak_ikuskaritza/es_def/adjuntos/resultados-escolares-Todo-2024-2025.pdf,curl (search agent)
raw/ehu_informe_eau_2024.pdf,80527,8c60a7e5f04ae6313f171aec13d4776a734a06a5d5b91f68da132423325df68b,EHU annual summary 2024,https://www.ehu.eus/documents/d/unibertsitaterako-sarbidea/informe-eau_2024-1-,curl (search agent)
raw/ehu_informe_pau_2025.pdf,79412,2cb2276eec62c618a5caa6c6bd172f28fb3671446c10c3e58e421a8ad45e243d,EHU annual summary 2025,https://www.ehu.eus/documents/d/unibertsitaterako-sarbidea/informe-pau_2025-1-,curl (search agent)
raw/gal_ciug_35_estatisticas_valoracions_2024.pdf,377801,4024195f396cb57616d9f5018b1ef66f2fb81d79ad205a8696cf66c3f4c87f56,CiUG Física working group 2020-2023,https://ciug.gal/PDF/Grupos_Traballo_2024/35_estatisticas_valoracions.pdf,curl with repaired TLS chain (search agent)
raw/gal_ciug_grupos_traballo.html,21867,eea7ec94bbbca113f706c2f3b8de7b7cbd2199299902fc3e847c00bd95d7902a,"CiUG working groups page (empty, 18 Sep 2026)",https://ciug.gal/grupos-de-traballo,curl
raw/gal_ciug_home.html,23564,5ce08eb301d6516b1a6cdb33095a47b40f4a05e4425efb3466b19d159e7fd372,CiUG home snapshot,https://ciug.gal/,curl
raw/gal_ciug_modelos2027.html,25418,408b6f0695dd1d652987d4c60d9f1574b80efdbaa4f06aa68be6ef9acc37bed7,CiUG 2027 model papers page,https://ciug.gal/,curl
raw/gal_ciug_pau.html,18882,417fee4df4cfc295687273ae01d670c932c496c7bc347a5592b62f288bd748de,CiUG PAU landing page snapshot,https://ciug.gal/pau,curl
raw/lit_faura2022desigualdad.pdf,1352974,6c4b6672d74429bb4c6d0ef02a1cd67bd814e4b6ab182856a9463e32cdf2f21f,Faura-Martínez et al. 2022 (RIE),https://revistas.um.es/rie/article/view/424841,curl (search agent)
raw/lit_woitschach2018correctores.pdf,272694,180952acb0435fee42f39fc523f77a820968e2a625558ed6a3b69fe74613ded3,Woitschach et al. 2018 (REMA),https://reunido.uniovi.es/index.php/Rema/article/view/12607,curl (search agent)
raw/mad_presentacion_resultados_pau_2026.pdf,1890364,ca54deb1002af49feca9dda3c4e523d91271563047ea5eb4707b58dffb513a7b,Comunidad de Madrid PAU 2026 presentation,https://www.comunidad.madrid/docs/2026-06/presentacion-resultados-pau-2026_vd.pdf,curl (search agent); charts read visually
raw/mad_uam_pau2026_acta_fisica.pdf,237331,7edfaa6ba33cc80d9b42ae42686b65754a0a4fb1a63a4353b3ac518c382a38ad,UAM Física commission minutes PAU 2026,https://www.uam.es/uam/en/estudios/comisiones-materia,curl (search agent)
raw/mad_uam_pau_presentacion_fisica_2026.pdf,2219151,54ec0cf6d0783128fb058bdccc1a0914b9753150d4d04db4a82193eb67b5f5cc,UAM Física commission presentation PAU 2026 (charts without labels),https://www.uam.es/uam/en/estudios/comisiones-materia,curl (search agent)
raw/mur_umu_informe_general_pau2025.pdf,4828374,06f5b3a27332ce574352f8390000b93036dbb09e3d0a8604a62573f993ebbbf8,UMU/COPAU Informe General PAU2025,https://www.um.es/documents/d/estudios/co-pau2026-1-doc-3-informe-general-pau2025,curl (search agent)
raw/nav_Informe_PAU_2024-25.pdf,1020087,9dadcb9ab82fccb2a03fb838e4ad647443dcb9ecf63ef9baf911ffe744c0d617,UPNA Informe PAU 2024-25,https://www2.unavarra.es/gesadj/Estudios/acceso_matricula/PAU/Informe_PAU_2024-25.pdf,curl (search agent)
raw/rio_EstadisticaJUN.pdf,80286,8dc18097228353239eca89db40e397e487ecfcad7dd19edc296d961e90068d6d,"UR global results, June",https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EstadisticaJUN.pdf,downloaded from the user's computer
raw/rio_EstadisticasJLO.pdf,155193,947264224d0babbf8122897e394cea86616bd3cf57d97a2657a6d524f48d567f,"UR global results, July",https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EstadisticasJLO.pdf,downloaded from the user's computer
raw/rio_EvolucionJLO.pdf,1338834,b614250724c8565691ffb330f4573e70b634da5a458dc7a94a7fda777b2767a8,"UR evolution by subject, July",https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJLO.pdf,downloaded from the user's computer
raw/rio_EvolucionJUN.pdf,1995009,ca0dd5d74b7de2c673457f0ca9dc1a72c10995ffbe429846b732c9dda2ceb8bc,"UR evolution by subject, June (2022 edition)",https://www.unirioja.es/estudiantes/acceso_admision/EBAU/pdf/EvolucionJUN.pdf,downloaded from the user's computer (HTTP 429 for the cloud fetcher); charts read visually
raw/val_julio_2026.pdf,537002,1a43d9ab85f5f665bf15483defdf1f41a25cb9724e416577b644bdb41251d68e,GVA Estadísticas PAU JULIO 2026,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JULIO+2026.pdf/9184b01a-513e-4397-3b65-b4d3ae8a8503,downloaded from the user's computer
raw/val_junio_2025.pdf,540254,b5e7ff20469778aaaf31d797bff685d14b4b5c094356d58cab330810e383a4a9,GVA Estadísticas PAU JUNIO 2025,https://universitats.gva.es/documents/389338055/393836351/Estad%C3%ADsticas+PAU+JUNIO+2025.pdf/572b8427-623f-c64a-a6f9-2e219b72416b,downloaded from the user's computer
raw/val_junio_2026.pdf,542323,4cf332d3ff181f0ed954662499c4924a7522348bdb84028cb79e3b558da8001d,GVA Estadísticas PAU JUNIO 2026,https://universitats.gva.es/documents/389338055/411099714/Estad%C3%ADsticas+PAU+JUNIO+2026.pdf/fa5f4fab-69e8-24b0-dc47-1e883d98e74c,downloaded from the user's computer (robots-blocked for the cloud fetcher)
ministry/px_pau_gen_materias_distr_fase_ca.px,8506434,792902c6fe0f23d69065c45bf105095ff933d50669e0d3edae4294c5b870ec52,Ministry EPAU: grade distribution (copy of the 18 Sep 2026 download in analysis_2026-09-18),https://estadisticas.ciencia.gob.es/jaxiPx/files/_px/es/px/Universitaria/PAU/PAU/l0/px_pau_gen_materias_distr_fase_ca.px,project copy
ministry/px_pau_gen_materias_matric_fase_ca.px,4266468,3f380f9660785c5484d8c1b88792d2b8d1197f72632a406149030e259906d0ec,Ministry EPAU: enrolled/presented/passed (copy from the July package),https://estadisticas.ciencia.gob.es/jaxiPx/files/_px/es/px/Universitaria/PAU/PAU/l0/px_pau_gen_materias_matric_fase_ca.px,project copy
ministry/px_pau_gen_materias_nota_fase_ca.px,2766731,493cab496c87e0c817d6f6bffbae906b5a5d01ec5010bcc628b84c431c33af5d,Ministry EPAU: subject means (copy from the July package),https://estadisticas.ciencia.gob.es/jaxiPx/files/_px/es/px/Universitaria/PAU/PAU/l0/px_pau_gen_materias_nota_fase_ca.px,project copy
