ccaa,year,item,block,obligatory,n_options,points,ctx,app,explain,graph,draw,evaluate,note,contextualised,substantive_ctx,competency,competency_full,criteria_met
Castilla-La Mancha,2026,C2.A,Ondas/Óptica,0,2,2.5,0,0,0,0,0,0,MAS from equation; spring constant; energies,0,0,0,0,0
Castilla-La Mancha,2026,C2.B,Ondas/Óptica,0,2,2.5,0,0,0,0,0,0,electromagnetic wave; wave equation; refractive index,0,0,0,0,0
Castilla-La Mancha,2026,D1,Moderna,0,2,2.0,0,0,0,0,0,0,alpha vs proton; speed and de Broglie ratios,0,0,0,0,0
Castilla-La Mancha,2026,D2,Moderna,0,2,2.0,1,1,0,0,0,0,F-18 PET tracer; decay constant; remaining mass,1,0,0,0,1
Asturias,2025,1,Gravitación,0,8,2.0,0,0,1,0,1,0,two point masses; field; potential; 'justifica el signo del trabajo y razona si depende de la trayectoria',0,0,0,0,1
Asturias,2025,2,Gravitación,0,8,2.0,1,1,0,0,0,0,"Meteosat MTG-I1 satellite; period, speed, escape energy",1,0,0,0,1
Asturias,2025,3,Electromagnetismo,0,8,2.0,0,0,1,0,0,0,two point charges; null field/potential points; justify work sign,0,0,0,0,1
Asturias,2025,4,Electromagnetismo,0,8,2.0,0,0,1,0,1,0,two parallel wires; reason whether the field cancels; scheme,0,0,0,0,1
Asturias,2025,5,Ondas/Óptica,0,8,2.0,1,1,0,0,1,0,wildlife observation centre in the Cordillera Cantábrica; concave mirror; ray tracing,1,0,0,0,1
Asturias,2025,6,Ondas/Óptica,0,8,2.0,1,0,1,0,0,0,"Campomanes station master and a departing train: Doppler and echo, qualitative comparison",1,0,0,0,1
Asturias,2025,7,Moderna,0,8,2.0,1,0,0,0,0,0,Geiger-Müller measurement of activity on two days; half-life; mass; mean life,1,0,0,0,0
Asturias,2025,8,Moderna,0,8,2.0,0,0,0,0,0,0,relativistic proton with E = 3 E0,0,0,0,0,0
Asturias,2026,1,Gravitación,0,8,2.0,1,0,0,0,0,0,a melon weighed on Jupiter; g and mass of Jupiter,1,0,0,0,0
Asturias,2026,2,Gravitación,0,8,2.0,1,0,1,0,0,0,two pumpkins and an apple; field; work; 'razone si será espontáneo',1,0,0,0,1
Asturias,2026,3,Electromagnetismo,0,8,2.0,0,0,0,0,0,0,electric dipole; field and potential at P,0,0,0,0,0
Asturias,2026,4,Electromagnetismo,0,8,2.0,0,0,0,0,0,0,alpha particle in B; circular path; electron in the same field,0,0,0,0,0
Asturias,2026,5,Ondas/Óptica,0,8,2.0,1,0,0,0,0,0,kayaking off Cudillero; wave speed; wave equation,1,0,0,0,0
Asturias,2026,6,Ondas/Óptica,0,8,2.0,1,0,0,0,1,0,porcelain figurine in front of a concave mirror; ray tracing,1,0,0,0,0
Asturias,2026,7,Moderna,0,8,2.0,1,1,0,0,0,0,electron-diffraction experiment on a material; de Broglie,1,0,0,0,1
Asturias,2026,8,Moderna,0,8,2.0,0,0,0,0,0,0,U-238 decay constant; time to one third of activity,0,0,0,0,0
Andalucía,2025,A.a,Gravitación,1,1,1.0,0,0,1,0,0,0,true/false reasoning on null field and potential,0,0,0,0,1
Andalucía,2025,A.b1,Gravitación,0,2,1.5,1,0,0,0,1,0,flight attendant dragging a suitcase; force scheme; work of each force,1,0,0,0,0
Andalucía,2025,A.b2,Gravitación,0,2,1.5,1,0,0,0,0,0,1960s satellite orbit; energies and speed,1,0,0,0,0
Andalucía,2025,B.a,Electromagnetismo,1,1,1.0,0,0,1,0,0,0,deduce radius in B; ratio of periods; 'razone',0,0,0,0,1
Andalucía,2025,B.b1,Electromagnetismo,0,2,1.5,0,0,1,0,1,0,sliding side of a loop; emf; current; direction with drawing,0,0,0,0,1
Andalucía,2025,B.b2,Electromagnetismo,0,2,1.5,0,0,1,0,0,0,two charges; potentials; work; interpret the sign,0,0,0,0,1
Andalucía,2025,C.a,Ondas/Óptica,1,1,1.0,0,0,1,0,1,0,which lens gives a virtual enlarged image; ray tracing and explanation,0,0,0,0,1
Andalucía,2025,C.b1,Ondas/Óptica,0,2,1.5,0,0,0,0,0,0,wave on a string; equation; phase differences,0,0,0,0,0
Andalucía,2025,C.b2,Ondas/Óptica,0,2,1.5,1,0,0,0,1,0,light through air-oil-water; scheme; angles,1,0,0,0,0
Andalucía,2025,D.a,Moderna,1,1,1.0,0,0,1,0,0,0,stopping potential; deduce max speed; ratio if halved,0,0,0,0,1
Andalucía,2025,D.b1,Moderna,0,2,1.5,1,1,0,0,0,0,research project: boron-10 fission by neutrons; energy released,1,0,0,0,1
Andalucía,2025,D.b2,Moderna,0,2,1.5,0,0,1,0,0,0,proton and electron with the same kinetic energy; de Broglie; stopping potentials,0,0,0,0,1
Andalucía,2026,A.a,Gravitación,1,1,1.0,0,0,1,0,0,0,true/false reasoning on conservation of mechanical energy,0,0,0,0,1
Andalucía,2026,A.b,Gravitación,1,1,1.5,1,0,1,0,1,0,child on a slide with friction; force scheme; work; speed at the bottom,1,0,0,0,1
Andalucía,2026,B.a1,Electromagnetismo,0,2,1.0,0,0,1,0,0,0,true/false on flux and emf,0,0,0,0,1
Andalucía,2026,B.a2,Electromagnetismo,0,2,1.0,0,0,1,0,0,0,two identical charges; symbolic speed; effect of doubling charges,0,0,0,0,1
Andalucía,2026,B.b1,Electromagnetismo,0,2,1.5,1,1,1,0,0,0,wind farm in the Strait of Gibraltar: rotating loop; flux; emf; DC or AC?,1,0,0,0,2
Andalucía,2026,B.b2,Electromagnetismo,0,2,1.5,0,0,0,0,0,0,electron launched towards a fixed negative charge; stopping distance,0,0,0,0,0
Andalucía,2026,C.a1,Ondas/Óptica,0,2,1.0,0,0,1,0,1,0,diverging lens; ray tracing; image characteristics,0,0,0,0,1
Andalucía,2026,C.a2,Ondas/Óptica,0,2,1.0,0,0,1,0,0,0,wave changing medium; ratios,0,0,0,0,1
Andalucía,2026,C.b1,Ondas/Óptica,0,2,1.5,1,1,0,0,1,0,projecting an object onto a screen; focal length; scheme,1,0,0,0,1
Andalucía,2026,C.b2,Ondas/Óptica,0,2,1.5,1,0,1,0,0,0,guitar string standing wave; type of wave; speeds,1,0,0,0,1
Andalucía,2026,D.a1,Moderna,0,2,1.0,0,0,1,0,0,0,photoelectric threshold at yellow light: red light? more intensity? 'razone',0,0,0,0,1
Andalucía,2026,D.a2,Moderna,0,2,1.0,0,0,1,0,0,0,proton vs K meson; de Broglie reasoning,0,0,0,0,1
Andalucía,2026,D.b1,Moderna,0,2,1.5,0,0,1,0,0,0,copper photocell with two frequencies; which produces emission; max speed,0,0,0,0,1
Andalucía,2026,D.b2,Moderna,0,2,1.5,0,0,0,0,0,0,proton and electron accelerated by 0.075 V; de Broglie,0,0,0,0,0
Canarias,2025,I.A,Gravitación,0,2,2.5,0,0,1,0,0,0,g at 400 km; prove E = Ep/2 for a circular orbit,0,0,0,0,1
Canarias,2025,I.B,Gravitación,0,2,2.5,0,0,0,0,0,0,two point masses; potential; force; work to infinity,0,0,0,0,0
Canarias,2025,II.A,Electromagnetismo,0,2,2.5,0,0,0,0,0,0,dipole; force on a third charge; work,0,0,0,0,0
Canarias,2025,II.B,Electromagnetismo,0,2,2.5,0,0,0,0,0,0,two parallel wires; field vector; alpha particles in B,0,0,0,0,0
Canarias,2025,III.A,Ondas/Óptica,0,2,2.5,0,0,0,0,0,0,MAS from initial conditions,0,0,0,0,0
Canarias,2025,III.B,Ondas/Óptica,0,2,2.5,1,1,0,0,1,0,slide projector; ray diagram; lens power,1,0,0,0,1
Canarias,2025,IV.A,Moderna,0,2,2.5,0,0,1,0,0,0,binding energies of H-3 and He-3; which is more stable; de Broglie ratio,0,0,0,0,1
Canarias,2025,IV.B,Moderna,0,2,2.5,0,0,0,0,0,0,photoelectric effect on aluminium,0,0,0,0,0
Canarias,2026,1a,Gravitación,1,1,1.5,1,0,0,0,0,0,microsatellite with period 5710 s; height; energy to orbit,1,0,0,0,0
Canarias,2026,1b1,Gravitación,0,2,1.0,1,0,0,0,0,0,"speed, centripetal acceleration, energies in orbit",1,0,0,0,0
Canarias,2026,1b2,Gravitación,0,2,1.0,1,0,0,0,0,0,energy to double the orbital radius,1,0,0,0,0
Canarias,2026,2,Electromagnetismo,1,1,1.5,0,0,0,0,0,0,two antiparallel wires; field at two points,0,0,0,0,0
Canarias,2026,3,Electromagnetismo,0,2,1.5,1,0,0,0,0,0,'en un laboratorio': two charges producing a given field,1,0,0,0,0
Canarias,2026,4,Electromagnetismo,0,2,1.5,0,0,0,0,1,0,electron entering B; acceleration vector; drawing of trajectory and vectors,0,0,0,0,0
Canarias,2026,5a,Ondas/Óptica,0,2,1.5,0,0,0,0,0,0,point sound source; distance to inaudibility,0,0,0,0,0
Canarias,2026,5b,Ondas/Óptica,0,2,1.5,0,0,0,0,0,0,point sound source; distance for 30 dB,0,0,0,0,0
Canarias,2026,6,Ondas/Óptica,0,2,1.5,0,0,1,0,0,0,mass on a spring; energies; 'justifique las expresiones',0,0,0,0,1
Canarias,2026,7,Ondas/Óptica,0,2,1.5,0,0,1,0,0,0,refraction; critical angle; from which medium,0,0,0,0,1
Canarias,2026,8,Moderna,0,2,1.5,1,1,0,0,0,0,Cs-137 in dust after a calima episode (nuclear tests 60 years ago); number of nuclei and mass,1,0,0,0,1
Canarias,2026,9,Moderna,0,2,1.5,0,0,0,0,0,0,photoelectric effect; stopping potential 1 V,0,0,0,0,0
Extremadura,2025,1,Gravitación,1,1,2.5,1,1,0,0,0,0,two Extremaduran students on an ESA mission collecting space debris near the ISS; field of two people; weight on the Moon,1,0,0,0,1
Extremadura,2025,2,Electromagnetismo,0,2,2.5,0,0,1,0,0,0,electron accelerated then in crossed fields; 'razona' for a proton,0,0,0,0,1
Extremadura,2025,3,Electromagnetismo,0,2,2.5,0,0,1,1,0,0,three trajectories in B (figure): signs of charges; fastest particle; reason,0,0,0,0,2
Extremadura,2025,4,Ondas/Óptica,0,2,2.5,1,0,0,0,0,0,sitting at the station: Doppler of an approaching and receding train,1,0,0,0,0
Extremadura,2025,5,Ondas/Óptica,0,2,2.5,0,0,1,1,0,0,"ray diagram given (figure): describe the image; s', f, power",0,0,0,0,2
Extremadura,2025,6,Moderna,0,2,2.5,0,0,0,0,0,0,photoelectric effect; four calculations,0,0,0,0,0
Extremadura,2025,7,Moderna,0,2,2.5,0,0,1,0,0,0,four fundamental forces; does the Standard Model cover them (recall),0,0,0,0,1
Extremadura,2026,1,Gravitación,1,1,2.5,1,1,0,0,0,0,Artemis II / Orion launch narrative (1 Apr 2026); force; escape energy; orbital speed,1,0,0,0,1
Extremadura,2026,2,Electromagnetismo,0,2,2.5,0,0,0,0,1,0,two charges; scheme; force on a test charge; external work,0,0,0,0,0
Extremadura,2026,3,Electromagnetismo,0,2,2.5,1,1,1,0,0,0,laboratory velocity selector; reason the deflection; condition for straight motion,1,0,0,0,2
Extremadura,2026,4,Ondas/Óptica,0,2,2.5,1,0,0,0,0,0,mass-spring 'experiment': period from half-oscillation time; energy; equation,1,0,0,0,0
Extremadura,2026,5,Ondas/Óptica,0,2,2.5,1,1,1,0,1,0,projecting a slide magnified 20x; which lens; ray tracing explained in words,1,0,0,0,2
Extremadura,2026,6,Moderna,0,2,2.5,1,0,0,1,0,0,photoelectric data table and Vf-f plot; complete the table; determine h and W from two points,1,0,0,0,1
Extremadura,2026,7,Moderna,0,2,2.5,0,0,0,0,0,0,radioactive sample: decay constant; half-life; nuclei; energy released,0,0,0,0,0
Comunitat Valenciana,2025,1A,Gravitación,0,2,2.0,1,0,0,1,0,0,binary star IK Pegasi (figure with positions); field vector; escape speed,1,0,0,0,1
Comunitat Valenciana,2025,1B,Gravitación,0,2,2.0,1,0,0,0,0,0,space station around a planet; symbolic height and g,1,0,0,0,0
Comunitat Valenciana,2025,2,Electromagnetismo,1,1,1.5,2,1,1,0,1,1,worker in a chlorine electrolysis plant under an 18 kA cable; Biot-Savart with law statement; is she protected under RD 299/2016 (2 T)?,1,1,1,1,4
Comunitat Valenciana,2025,3A,Electromagnetismo,0,2,1.5,0,0,1,0,1,0,direction of the field of two charges in three regions with vector representation,0,0,0,0,1
Comunitat Valenciana,2025,3B,Electromagnetismo,0,2,1.5,0,0,1,1,1,0,square loop in B(t) given as a graph; emf; draw field and induced current; reason direction,0,0,0,0,2
Comunitat Valenciana,2025,4A,Ondas/Óptica,0,2,1.5,0,0,0,1,0,0,wave parameters from two graphs,0,0,0,0,1
Comunitat Valenciana,2025,4B,Ondas/Óptica,0,2,1.5,1,1,0,0,0,0,two air-conditioning compressors; sound levels; power of the second,1,0,0,0,1
Comunitat Valenciana,2025,5A,Ondas/Óptica,0,2,2.0,0,0,0,0,0,0,MAS from x(t); energies at half amplitude,0,0,0,0,0
Comunitat Valenciana,2025,5B,Ondas/Óptica,0,2,2.0,0,0,0,0,1,0,object in front of a 4 D lens; ray scheme; move the object for a given image,0,0,0,0,0
Comunitat Valenciana,2025,6A,Moderna,0,2,1.5,0,0,1,0,0,0,Po-218 alpha decay; mass numbers; mass ten minutes earlier,0,0,0,0,1
Comunitat Valenciana,2025,6B,Moderna,0,2,1.5,1,0,1,0,0,0,spaceship to Barnard's star; proper time; durations; reason,1,0,0,0,1
Comunitat Valenciana,2026,1,Gravitación,1,1,2.0,1,1,0,0,0,0,Deimos-2 Earth-observation satellite (620 km); deduce orbital speed and g(h),1,0,0,0,1
Comunitat Valenciana,2026,2A,Electromagnetismo,0,2,3.0,0,0,1,0,0,0,two charges on a square; equipotential diagonal? Gauss law statement and flux reasoning,0,0,0,0,1
Comunitat Valenciana,2026,2B,Electromagnetismo,0,2,3.0,0,0,0,1,1,0,two parallel wires (figure); field; force on a moving charge; represent vectors; current for a given field,0,0,0,0,1
Comunitat Valenciana,2026,3A,Ondas/Óptica,0,2,3.0,0,0,0,1,0,0,photograph of a wave on a rope at t = 2 s: read wavelength and amplitude; wave function; phase,0,0,0,0,1
Comunitat Valenciana,2026,3B,Ondas/Óptica,0,2,3.0,0,0,1,1,0,0,laser on a material: read angles from the scheme; justify how angles change; lens image,0,0,0,0,2
Comunitat Valenciana,2026,4A,Moderna,0,2,2.0,1,1,0,0,0,0,Tc-99m radiopharmaceutical: activity at production; nuclei and mass to produce,1,0,0,0,1
Comunitat Valenciana,2026,4B,Moderna,0,2,2.0,0,0,1,1,0,0,photoelectric: work function; interpret slope and intercepts of the Ek-f graph,0,0,0,0,2
